CV,Job Description,Model,Score,Top Skills
cv-00001.txt,job-00001.txt,BERT,0.840147003531456,"R (1.00), IoT (0.96), SQL (0.95)"
cv-00001.txt,job-00001.txt,Word2Vec,0.8439365446567535,"R (1.00), IoT (0.85), SQL (0.83)"
cv-00001.txt,job-00001.txt,ChatGPT,0.7,"Python (0.95), SQL (0.85), R (0.80)"
cv-00001.txt,job-00002.txt,BERT,0.8379208326339722,"R (1.00), IoT (0.96), SQL (0.94)"
cv-00001.txt,job-00002.txt,Word2Vec,0.843456295132637,"R (1.00), IoT (0.85), SQL (0.82)"
cv-00001.txt,job-00002.txt,ChatGPT,0.2,"Python (0.65), SQL (0.85), R (0.80)"
cv-00001.txt,job-00003.txt,BERT,0.8354240894317627,"R (1.00), IoT (0.95), SQL (0.94)"
cv-00001.txt,job-00003.txt,Word2Vec,0.8437085568904876,"R (1.00), IoT (0.85), SQL (0.82)"
cv-00001.txt,job-00003.txt,ChatGPT,0.4,"Marketing (0.95), Management (0.70), Marketing digital (0.60)"
cv-00001.txt,job-00004.txt,BERT,0.8383054077625275,"R (1.00), IoT (0.96), SQL (0.95)"
cv-00001.txt,job-00004.txt,Word2Vec,0.8439387887716294,"R (1.00), IoT (0.85), SQL (0.83)"
cv-00001.txt,job-00004.txt,ChatGPT,0.4,"Python (0.85), SQL (0.70), Agile (0.30)"
cv-00001.txt,job-00005.txt,BERT,0.840206754207611,"R (1.00), IoT (0.96), SQL (0.95)"
cv-00001.txt,job-00005.txt,Word2Vec,0.8434619635343552,"R (1.00), IoT (0.83), SQL (0.81)"
cv-00001.txt,job-00005.txt,ChatGPT,0.4,"AWS (0.30), Azure (0.30), Python (0.15)"
cv-00001.txt,job-00006.txt,BERT,0.8390360236167909,"R (1.00), IoT (0.96), SQL (0.94)"
cv-00001.txt,job-00006.txt,Word2Vec,0.8446085363626481,"R (1.00), IoT (0.84), SQL (0.82)"
cv-00001.txt,job-00006.txt,ChatGPT,0.7,"Python (0.95), Machine Learning (0.75), Deep Learning (0.50)"
cv-00001.txt,job-00007.txt,BERT,0.8352047026157379,"R (1.00), IoT (0.95), SQL (0.94)"
